path,kind,purpose,stage,actual_rows,fields,bytes,actual_sha256,contains_review_text,contains_future_target,contains_personal_identifier_field,release_status
data/amazon_reviews_2023/processed/review_level_base_w3_v1_4_0.parquet,parquet,Formal cleaned review corpus approved for public collaboration,W4R,55877,23,14496140,93e1aa660e81bcb89cca4d1c9661d76ed9893424fd37d5d67e44fb1c7901c553,True,False,True,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/target_products_w3_v1_4_0.parquet,parquet,Frozen target-product set,W3R-C,125,38,94709,e9d0a7548f1568b2bff7b0e2cedd5fa2702cdda2bf507a674a0ad741e89e9a88,False,False,False,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/annotation_labels_w5c_b_v1_0.parquet,parquet,Frozen human labels without review text,W5-C-B,1500,17,87065,4f52aa604c8798f236eb6401d57ab61265cdfef7b1b54b94a0b4376d141b2ec9,False,False,False,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/review_level_failure_predictions_w6a_v1_0.parquet,parquet,Frozen review-level failure predictions,W6-A,55877,11,3048772,6a947259f9e2240b9d84e5130f657153d0c86466ee27e983a2db4e6694ddc7ab,False,False,False,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/review_level_signal_components_w6b_v1_0.parquet,parquet,"Frozen review-level Failure, Severity, Persistence, and Sentiment components",W6-B,55877,27,7418958,816e102dda7045aadb1116429f292f9b55a56ae4da47ea09e11e34479a97ee02,False,False,False,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/product_month_signal_components_w6b_v1_0.parquet,parquet,Frozen product-month signal components,W6-B,1911,18,87817,d2ebc8e4c3021031d727c74de25b0789fd6248c3dadafe029a7dac9092c25947,False,False,False,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/review_level_engineering_index_w6c_v1_0.parquet,parquet,Frozen review-level EngineeringIndex,W6-C,55877,24,8156656,4953cb02ae7293e33a9c51e32407bd9d1e08b6c02af87297c90cfde42ca96916,False,False,False,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/product_month_engineering_index_w6c_v1_0.parquet,parquet,Frozen product-month EngineeringIndex,W6-C,1911,26,185291,4cd7a5ce497d5eac6fbaeede39bdd87d347e40fb16b320e54dba5fc9413e5438,False,False,False,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/product_month_quality_targets_w6c_v1_0.parquet,parquet,Frozen future quality targets and split audit,W6-C,1911,80,124485,9404528b303cba738026cd3ced7f8e436becd618bc7b2d03cec9e7738e92c0dd,False,True,False,APPROVED_BY_PROJECT_OWNER
data/amazon_reviews_2023/processed/product_month_analysis_panel_w6c_v1_0.parquet,parquet,Frozen no-leakage product-month analysis panel,W6-C,1911,88,284849,c0f520268b2db674830e56d8e3f2c3fb156ee2b17bc947e1206e08c8ecbf4ac3,False,True,False,APPROVED_BY_PROJECT_OWNER
