blind_id,parent_asin,product_title,source_domains,reviewer_1_device_type,reviewer_1_label,reviewer_1_confidence,reviewer_2_device_type,reviewer_2_label,reviewer_2_confidence,adjudicated_device_type,adjudicated_label,adjudication_notes,final_device_type,final_label,final_decision,decision_basis,final_notes
W3RB-001,B00IRQ6T22,MiPow PLAYBULB Bluetooth SMART LED Wireless Speaker Light Bulb for use with Apple iPhone/ iPad/ iPod and Android devices - Chrome,Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-002,B08TVZK8D6,"Made for Amazon Zigbee Smart Switch, Gen3. Compatible with Echo (4th Gen), Echo Plus (1st & 2nd Gen), Echo Show 10 (2nd & 3rd Gen), Echo Studio, Eero, and Eero 6 Pro",Electronics,neither,accessory,high,smart_switch,correct_target,medium,neither,accessory,"Accessory: snaps onto an existing toggle or rocker switch and mechanically operates it; the product itself is not a wall switch or dimmer, despite Zigbee/Alexa control.",neither,accessory,exclude,adjudication,"Accessory: snaps onto an existing toggle or rocker switch and mechanically operates it; the product itself is not a wall switch or dimmer, despite Zigbee/Alexa control."
W3RB-003,B073S7XK5N,ON-Q Switch - Radiant in-Wall 1500W Rf Switch - White (LC2201-WH),Electronics,uncertain,ambiguous,low,uncertain,ambiguous,low,,,,uncertain,ambiguous,hold,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-004,B00JCE14AU,"Sengled Pulse Dimmable LED Light Bulb with a Built-In Wireless Bluetooth JBL Speaker, Master + Satellite (Pair), Pewter",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-005,B00W6YEMMU,"PLAYBULB BTL100 Bluetooth Dimmable LED Light Bulb with Wireless Speaker, White",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-006,B010UAB0V2,Belkin WeMo Light Switch,Electronics,smart_switch,correct_target,high,smart_switch,correct_target,high,,,,smart_switch,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-007,B003I86OPG,"Insteon 2466DI ToggleLinc Insteon Remote Control Dimmer Switch, Ivory",Electronics,smart_switch,correct_target,high,smart_switch,correct_target,high,,,,smart_switch,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-008,B00YB5R56M,ION Audio Sound Shine | Dimmable Light Bulb & Wireless Speaker with Bluetooth & App Control (Pair),Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-009,B07DWCWW3N,Switchmate Light Switch Systems Toggle - Wireless Wall Switch,Electronics,neither,accessory,high,smart_switch,correct_target,medium,neither,accessory,Accessory: mounts over an existing switch plate and controls the underlying switch; phone and voice features do not make the product itself a wall switch or dimmer.,neither,accessory,exclude,adjudication,Accessory: mounts over an existing switch plate and controls the underlying switch; phone and voice features do not make the product itself a wall switch or dimmer.
W3RB-010,B0BN7YPZKP,"WiZ Connected 6-Pack Color 60W Candle B11 Smart WiFi Light Bulb, 16 Million Colors, Compatible with Alexa and Google Home Assistant, No Hub Required, 6 Bulbs",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
