"blind_id","product_title","main_category","categories_evidence","features_evidence","description_evidence","details_evidence","source_domains","reviewer_1_device_type","reviewer_1_label","reviewer_1_confidence","reviewer_1_notes","reviewer_2_device_type","reviewer_2_label","reviewer_2_confidence","reviewer_2_notes","adjudicated_device_type","adjudicated_label","adjudication_notes"
"W3RB-001","MiPow PLAYBULB Bluetooth SMART LED Wireless Speaker Light Bulb for use with Apple iPhone/ iPad/ iPod and Android devices - Chrome","Cell Phones & Accessories","[""Electronics"",""Headphones, Earbuds & Accessories"",""Headphones & Earbuds""]","[""LED Bluetooth speaker light"",""4.0 and Bluetooth Smart"",""Remotely controlled via the MiPow App"",""Fits into most light fixtures. It has an E27 screw base and operates just like a normal light."",""Compatible with most Bluetooth enabled devices.""]","[""MIPOW PLAYBULB is a fresh new Bluetooth Smart LED speaker light, allowing you to combine your light with music and control, both from your mobile device. Compatible with most Bluetooth wireless enabled devices. For music playback, most devices with Bluetooth wireless capability and A2DP. The advanced acoustic technology delivers a clear and big sound. Controlling the PLAYBULB from the MiPow App, available for download from the App store and Google play, allows you can change the light brightness and music operation.""]","{""Brand"":""MIPOW"",""Color"":""clear"",""Connectivity Technology"":""Bluetooth"",""Connectivity technologies"":""Bluetooth"",""Controller Type"":""App Control"",""Date First Available"":""April 1, 2014"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""7 ounces"",""Item model number"":""BTX200-BK"",""Manufacturer"":""MiPow"",""Other display features"":""Wireless"",""Product Dimensions"":""7.09 x 6.42 x 2.56 inches"",""Recommended Uses For Product"":""Music"",""Special Feature"":""wireless, Android"",""Special features"":""wireless, Android"",""Wireless communication technologies"":""Bluetooth""}","Electronics","","","","","","","","","","",""
"W3RB-002","Made for Amazon Zigbee Smart Switch, Gen3. Compatible with Echo (4th Gen), Echo Plus (1st & 2nd Gen), Echo Show 10 (2nd & 3rd Gen), Echo Studio, Eero, and Eero 6 Pro","Amazon Devices","","[""EASY INSTALLATION: No wiring required. Snaps on top of an existing toggle or rocker light switch and mechanically controls the underlying switch"",""ALEXA ENABLED: Turn your light on/off using voice commands or set to a schedule by creating Alexa routines."",""WIDE RANGE OF USES: No neutral wire required. Works with any voltage (12v, 24v, 110v, 220v). Ideal solution for low-voltage switches like those used with gas fireplaces. Narrow enough to fit 2-gang switches."",""IMPROVED DESIGN: Narrower and thinner than Gen2 switch with lower battery consumption"",""WORKS WITH ECHO OR DEVICES WITH ZIGBEE HUB: Works with Echo devices with built-in Zigbee hub (including Echo (4th Gen), Echo Plus (1st Gen and 2nd Gen), Echo Show 10 (2nd Gen and 3rd Gen) and Echo Studio. Also works with Eero 6, Eero 6 Pro, Smart things 2015/2018, Wink v2, Third Reality Hub, Third Reality Speaker with build-in Hub.""]","","","Electronics","","","","","","","","","","",""
"W3RB-003","ON-Q Switch - Radiant in-Wall 1500W Rf Switch - White (LC2201-WH)","All Electronics","[""Electronics"",""Television & Video"",""Accessories""]","[""Patented top dog RF communication Protocol; 900MHz radio. Avoids interference with other 900MHz devices, such as cordless phones and Baby monitors."",""Legrand patented RF communication Protocol for reduced interference."",""Installs easily with no control wiring necessary."",""Integrates with Legrand's Intuit Home Intelligence."",""Available in three colors: light Almond, nickel, and white.""]","[""The radiant collection is a step up from the standard with simple, classic options in wiring devices, home automation controls and Screw less wall plates that complement today's homes.""]","{""Best Sellers Rank"":{""Electronics"":583373,""Home Theater Accessories"":143880},""Brand"":""On-Q"",""Color"":""White"",""Connectivity Protocol"":""Wi-Fi"",""Connector Type"":""Screw"",""Date First Available"":""April 12, 2016"",""International Protection Rating"":""IP54"",""Item Dimensions LxWxH"":""4 x 4 x 4 inches"",""Item Weight"":""5.2 ounces"",""Item model number"":""LC2201-WH"",""Manufacturer"":""Tjernlund Products, Inc."",""Mounting Type"":""Wall Mount"",""Number of Items"":""1"",""Product Dimensions"":""4 x 4 x 4 inches"",""Unit Count"":""1 Count""}","Electronics","","","","","","","","","","",""
"W3RB-004","Sengled Pulse Dimmable LED Light Bulb with a Built-In Wireless Bluetooth JBL Speaker, Master + Satellite (Pair), Pewter","All Electronics","[""Electronics"",""Home Audio"",""Wireless & Streaming Audio"",""Wireless Multiroom Systems""]","[""STREAM EFFORTLESSLY: Bluetooth speaker connects with Amazon Echo & Echo Dot for voice control; ask Alexa to play music from Amazon Music, Spotify, Pandora, iHeartRadio, TuneIn and SiriusXM"",""EASY SET UP: install into standard E26 light sockets or fixtures, download the iOS/Android app and set up; Suitable for 5 to 6 inch recessed can lighting (socket extender required for 4 inch)"",""HIGH FIDELITY SOUND: 13 watt (at 8 ohms) loudspeakers perform as left right stereo pair"",""APP CONTROLLED: stream audio, adjust the volume and set light brightness from your iOS or Android devoice"",""WHOLE HOME MUSIC: link up to eight (master and seven satellites) bulbs for sound everywhere; bulbs work best up to 100 feet apart""]","[""With Pulse, you get the energy efficiency of a dimmable LED light with the rich sound of a JBL speaker that you can control using your iOS or Android device. Set up is simple. Just screw Pulse into any standard light socket or fixture and enjoy high quality stereo sound right out of the box. No need to worry about wires, cords or remotes. Best of all, you can customize your Pulse system to suit your needs. A Pulse Master bulb can be paired with up to 8 Satellite bulbs allowing you to enjoy your favorite music in every room of your house. You can even add a subwoofer to your Pulse sound system using the Pulse Amp adapter (sold separately) or connect it to your TV or audio receiver using Pulse Link (sold separately). Pulse bulbs are available in three striking colors Candy Apple, Pearl White and Pewter and come with a one year limited warranty.""]","{""Best Sellers Rank"":{""Electronics"":154071,""Wireless Multiroom Digital Music Systems"":28},""Brand"":""Sengled"",""Connectivity Technology"":""Bluetooth"",""Date First Available"":""April 1, 2014"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""14.82 Ounces"",""Item model number"":""C01-BR30MSP"",""Manufacturer"":""Sengled"",""Model Name"":""C01-BR30MSP"",""Number Of Items"":""1"",""Product Dimensions"":""8.9 x 6.3 x 4.4 inches"",""Speaker Type"":""Subwoofer, Satellite"",""Speakers Maximum Output Power"":""30 Watts"",""Special Feature"":""Noise Cancellation, PC Calling""}","Electronics","","","","","","","","","","",""
"W3RB-005","PLAYBULB BTL100 Bluetooth Dimmable LED Light Bulb with Wireless Speaker, White","Cell Phones & Accessories","[""Electronics"",""Portable Audio & Video"",""MP3 & MP4 Player Accessories""]","[""LED Bluetooth speaker light"",""4.0 and Bluetooth Smart"",""Remotely controlled via the MiPow App"",""Fits into most light fixtures. It has an E27 screw base and operates just like a normal light."",""Compatible with most Bluetooth enabled devices.""]","[""MIPOW PLAYBULB is a fresh new Bluetooth Smart LED speaker light, allowing you to combine your light with music and control, both from your mobile device. Compatible with most Bluetooth wireless enabled devices. For music playback, most devices with Bluetooth wireless capability and A2DP. The advanced acoustic technology delivers a clear and big sound. Controlling the PLAYBULB from the MiPow App, available for download from the App store and Google play, allows you can change the light brightness and music operation. Apps Supported Devices are as follows: Apple iPhone 4S, iPhone 5, iPhone 5C, iPhone 5S, iPod (5th generation), iPad (4th generation), iPad Air, iPad mini, Android Devices with Android 4.3 or above and with Bluetooth 4.0""]","{""Brand"":""MIPOW"",""Color"":""White"",""Connectivity technologies"":""Bluetooth"",""Controller Type"":""App Control"",""Date First Available"":""April 1, 2014"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""7 ounces"",""Item model number"":""BTL100-WT-WW"",""Manufacturer"":""GadgetCenter"",""Other display features"":""Wireless"",""Product Dimensions"":""7.09 x 6.42 x 2.56 inches"",""Recommended Uses For Product"":""Music"",""Surround Sound Channel Configuration"":""4""}","Electronics","","","","","","","","","","",""
"W3RB-006","Belkin WeMo Light Switch","Camera & Photo","","","[""Compatible with Alexa and Google Assistant. UPC: 722868979785 Version: VA02. The Wi-Fi enabled WeMo Light Switch allows you to turn lights on and off from anywhere-from across the house, from the backyard, or from the other side of the world. WeMo Light Switch replaces a standard light switch in your home and can be controlled remotely with an Android smartphone or tablet, iPhone, iPad, or iPod touch. It works with your existing Wi-Fi network and anywhere your smart phone or tablet has an Internet connection (3G or 4G LTE). Easy for most Do It Yourselfers.""]","{""Date First Available"":""July 3, 2015"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""8.8 ounces"",""Item model number"":""F7C030fc"",""Manufacturer"":""Belkin Components"",""Product Dimensions"":""26 x 5.3 x 7.4 inches""}","Electronics","","","","","","","","","","",""
"W3RB-007","Insteon 2466DI ToggleLinc Insteon Remote Control Dimmer Switch, Ivory","Tools & Home Improvement","[""Electronics"",""Accessories & Supplies"",""Mounts""]","[""Control lights remotely, turning them on and off and adjusting brightness levels"",""Incorporate a light into multiple lighting design scenes in minutes"",""Same great features as the award-winning SwitchLinc but with a familiar toggle control to match your home's decor"",""Easy-to-install dimmer uses Insteon technology for superior performance and reliability"",""Neutral wire required; 600 watt maximum load""]","[""From the Manufacturer"",""Behind its classic toggle switch styling, ToggleLinc Dimmer opens up a world of opportunity for lighting and appliance control. Not only can ToggleLinc Dimmer provide dimming control to the lights that you wire to it, but it can add remote control to all kinds of other Insteon devices in your home, and can be remotely operated from other Insteon controllers, including other ToggleLinc modules. ToggleLinc Dimmer has 32 brightness levels which makes setting your lights to the perfect intensity easy. Turn your dining room lights on from the kitchen when dinner is ready, and turn off the lights in the dining room and the kitchen from a single controller. With Insteon, the possibilities are endless! The ToggleLinc installs like a traditional wall switch with the exception of requiring connection to neutral. Most homes have a neutral wire available. It is typically two or more white wires that are capped off in the back of the switch box. Once installed setup is quick and easy using a simple Plug-n-Tap programming. With high-end quality, classic styling and remote controllability, you'll see how easy it is to create your own smart home. Insteon is a low-cost home control technology that uses both the existing electrical wires in the home and radio-frequency to communicate. From lighting, appliance and thermostat control to integrated security systems, Inste…","{"""":""Mounting Type Wall Mount"",""Actuator Type"":""Touch"",""Best Sellers Rank"":{""Electrical Switches & Dimmers"":5264,""Electronics Mounts"":3467,""Tools & Home Improvement"":661248},""Brand"":""Insteon"",""Color"":""Ivory"",""Connectivity Protocol"":""Insteon"",""Control Method"":""Remote"",""Controller Type"":""Insteon"",""Date First Available"":""May 25, 2006"",""Finish"":""Ivory"",""International Protection Rating"":""IP54"",""Item Dimensions LxWxH"":""2.8 x 19.02 x 3.46 inches"",""Item Package Quantity"":""1"",""Item Weight"":""4.8 ounces"",""Item model number"":""2466DI"",""Manufacturer"":""Smarthome"",""Number of Items"":""1"",""Operation Mode"":""ON-OFF"",""Part Number"":""2466DI"",""Power Source"":""DC"",""Product Dimensions"":""2.8 x 19.02 x 3.46 inches"",""Shape"":""Rectangular"",""Switch Type Toggle"":"""",""Warranty Description"":""2 years, limited""}","Electronics","","","","","","","","","","",""
"W3RB-008","ION Audio Sound Shine | Dimmable Light Bulb & Wireless Speaker with Bluetooth & App Control (Pair)","Home Audio & Theater","[""Electronics"",""Portable Audio & Video"",""MP3 & MP4 Player Accessories""]","[""Streams Music Wirelessly From Bluetooth-enabled Smartphone, Tablet, Music Player Or Computer"",""Speakers Link Wirelessly For Stereo Sound With No Wires Required"",""Full-range High-excursion Speakers Deliver Rich, Room-filling Sound"",""Led Lights Provide Pleasing White Illumination Equivalent To A 60w Light Bulb"",""Compatible With Android, IPhone, IPad, Kindle Fire Hd & More""]","[""Sound Shine speakers are the simple way to bring music and light to any room in your house, and installation is as simple as screwing in a light bulb. Featuring integrated Bluetooth technology, Sound Shine speakers let you stream music wirelessly from any Bluetooth-enabled device. The built-in speakers can be used independently as standalone speakers, playing the whole stereo signal. They can also be linked together wirelessly to provide rich, full-range stereo sound, where one speaker plays the Left channel and the other speaker plays the Right channel. Either way, they'll fill any room with your favorite sounds. Sound Shine speakers are ideal for any application that uses standard light bulb threads. They provide warm, white illumination equivalent to a 60-watt light bulb. Plus, the lights are dimmable with the downloadable ION app. Sound Shine simply screws into a standard light bulb socket no batteries, no rewiring, no hassle! The name says it all great Sound that Shines brightly!""]","{""Best Sellers Rank"":{""MP3 & MP4 Player Accessories"":41402},""Brand"":""Ion"",""Connectivity Technology"":""Bluetooth"",""Date First Available"":""March 29, 2016"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""2.1 Pounds"",""Item model number"":""ISP38P"",""Manufacturer"":""Ion Electronics Inc"",""Model Name"":""Sound Shine"",""Number Of Items"":""1"",""Product Dimensions"":""9 x 6.5 x 4.9 inches"",""Speaker Type"":""Computer"",""Speakers Maximum Output Power"":""60 Watts"",""Special Feature"":""Radio""}","Electronics","","","","","","","","","","",""
"W3RB-009","Switchmate Light Switch Systems Toggle - Wireless Wall Switch","All Electronics","","[""Brand New in box. The product ships with all relevant accessories""]","[""Set up your smart lighting with Switchmate! There’s no need to rewire sockets or replace any bulbs, the Switchmate quickly installs by snapping over your home’s existing light switch plate. Custom schedule your lighting your way, and be greeted automatically by lights as you arrive home. With a built in motion sensor, there’s no need to ever enter a dark room again! Switchmate is designed with you in mind, offering voice control and compatibility with the Google Assistant. With 6 ways to use including motion, timers, proximity, phone and touch; smart lighting has never been easier.""]","{""Date First Available"":""June 20, 2018"",""Item Weight"":""6.4 ounces"",""Manufacturer"":""Switchmate"",""Product Dimensions"":""7.1 x 1.5 x 3.6 inches""}","Electronics","","","","","","","","","","",""
"W3RB-010","WiZ Connected 6-Pack Color 60W Candle B11 Smart WiFi Light Bulb, 16 Million Colors, Compatible with Alexa and Google Home Assistant, No Hub Required, 6 Bulbs","Tools & Home Improvement","[""Amazon Devices & Accessories"",""Amazon Devices"",""Device Bundles"",""Echo Smart Speaker & Display Bundles""]","[""Easy Setup: WiZ full color smart bulbs work with your existing Wi-Fi router; No additional gateway is needed. Simply plug in your new light, download the WiZ app and you're ready to go!"",""Smart Control: Use the app to invite other people to control your smart WiFi lights such as guests and family members without being able to change light settings - Simply go to Settings>Members and Invite. You can also control from anywhere with the WiZ app or go hands-free with voice control"",""Smart Features: Set a scheduled bedtime for the kids. Program your lights to turn on or off to fit your routine or set vacation mode to automate your lights even when you are away from home to mimic presence. The bulbs also have schedules integrated into the bulb, so they will power up even if your WiFi is down."",""Works With Voice: Use Alexa, Siri Shortcuts, or Google Assistant to control your lights with voice. No hub is required, simply follow the pairing steps for your favorite voice assistant.""]","[""The WiZ LED full color candle-shape bulb brings smart lighting for your daily living. Perfect for any decorative fixtures with E26 medium base. Create the ambience of your choice with 16 million colors as well as warm to cool white light. You can set schedules to turn lights on and off according to your daily or weekly routines, control with your smartphone or your voice and have remote access to your lights even when you're away. WiZ lights connect to your existing Wi-Fi, no additional hardware is needed.""]","{""Batteries Required?"":""No"",""Best Sellers Rank"":{""Amazon Devices & Accessories"":989,""Echo Smart Speaker & Display Bundles"":65},""Brand"":""WiZ Connected"",""Bulb Base"":""E12"",""Bulb Shape Size"":""B11"",""Color"":""Color"",""Connectivity Protocol"":""Wi-Fi"",""Connectivity Technology"":""Wi-Fi"",""Controller Type"":""Google Assistant, Amazon Alexa"",""Date First Available"":""November 22, 2021"",""Included Components"":""6 bulbs"",""Item Package Quantity"":""1"",""Item Weight"":""2.08 ounces"",""Item model number"":""R603522"",""Light Color"":""Cool white"",""Light Type"":""LED"",""Manufacturer"":""Signify North America Corporation"",""Material"":""Synthetic Polymer (PMMA)"",""Model Name"":""WiZ"",""Number of Items"":""6"",""Part Number"":""R603522"",""Product Dimensions"":""2.36 x 2.36 x 2.36 inches"",""Shape"":""B11"",""Size"":""6 Count (Pack of 1)"",""Special Feature"":""Energy Efficient, Dimmable, Color Changing"",""Special Features"":""Energy Efficient, Dimmable, Color Changing"",""Style"":""Candle"",""Unit Count"":""6.0 Count"",""Usage"":""Decoration"",""Warranty Description"":""2 year…","Electronics","","","","","","","","","","",""
