audit_id,audit_stratum,parent_asin,expected_device_type,source_domains,candidate_confidence,ambiguity_status,product_title,main_category,categories_evidence,features_evidence,description_evidence,candidate_device_terms,candidate_smart_terms,matched_fields,exclusion_reasons,audit_label,audit_device_type,audit_notes
42d2261a91607470,eligible,B09TNV7Q69,smart_plug,Electronics,high,single_device_type,"BN-LINK Smart Power Strip Compatible with Alexa Google Home, Smart Plug WiFi Outlets Surge Protector with 4 USB 3 Charging Port Multi Plug Extender,15A",All Electronics,Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,"【Multi Plug Extender】 Our 6.56 feet heavy duty power extension cord(1875W/15A) with 3 independently controllable outlets plus 4 always-on USB ports(total 4.8A/24W) can meet all your needs. Ideal for charging cellphone, Kindle and most USB devices in the home and office. 【Voice Control】Simply voice command to control mu",,outlet|plug|power strip|smart outlet|smart plug,alexa|google home|smart|voice control|wifi,features|title,,,,
06910762b6e1db3e,eligible,B07XB5SNC1,smart_plug,Electronics,high,single_device_type,"LEOD Smart Power Strip WiFi 8-Outlet Surge Protector Power Strip with 4 Type-A & Type-C USB Charging Ports and 6-Foot Heavy Duty Extension Cord, Blue LED Light Indicator",All Electronics,,,,outlet|power strip,smart|wifi,title,,,,
fbcce451101e67d3,eligible,B07PWCPG3G,smart_plug,Home_and_Kitchen,high,single_device_type,"Bluetooth Smart Plug, Nashone Multi-Function Outlet, Thermostat, Timing, Countdown and Schedule APP Control Compatible with iOS & Android (White)",Amazon Home,,,,outlet|plug|smart plug,app control|smart,title,,,,
00cabe4921790c98,eligible,B0BJQ5VZLW,smart_plug,Electronics,high,single_device_type,"Smart Power Strip, YoLink 1/4 Mile World's Longest Range Power Strip Compatible with Alexa Google IFTTT, Surge Protector Plugs 4 USB Charging Ports + 4 AC Plugs for Multi Outlets - YoLink Hub Required",All Electronics,Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,"World's Longest Wireless Range: Powered by LoRa technology, the long-range yet low-power system offers the industry’s longest receiving range in the market (1/4 mile). Our long-range coverage enables its use in areas challenging for most residential Wi-Fi systems, such as basements, outdoor porch/patio areas, sheds, fr",,power strip,alexa|google home|ifttt|smart|wi fi,features|title,,,,
11158cf4e4695671,eligible,B06ZXSTBHL,smart_plug,Electronics,high,single_device_type,"AMALEN ESW15 WiFi Smart Plug, Works with Google Home and Alexa, 15Amps, 1800W, ETL Listed, with Overheat Protection",All Electronics,Electronics Television & Video Accessories 3D Glasses,,,plug|smart plug,alexa|google home|smart|wifi,title,,,,
4b4c1ec5946c934a,eligible,B07L68NDHS,smart_plug,Home_and_Kitchen,high,single_device_type,NPET Smart Plug 15A Overload Protection 2 Pack (Smart Plug Basic Version),Amazon Home,"Home & Kitchen Kitchen & Dining Coffee, Tea & Espresso Kettles & Tea Machines Electric Kettles",,,plug|smart plug,smart,title,,,,
69eac9e0e8624f3e,eligible,B0BM9WGQP2,smart_plug,Electronics,high,single_device_type,"Tenda SP15 Smart WI-FI Plug Smart Power Strip, Surge Protector with 3 Individually Controlled Smart Outlets and 2 USB Ports, Surge Protection, Alexa Voice Control and Google Home, 1875W|15A|White",Computers,Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,"Voice Control: Working with Google Assistant and Alexa, which easily controls the status, maximizes the convenience of home appliance control, and helps to enjoy the intelligent life. 3 Smart outlets: Independently control 3 smart outlets, and charge 2 devices with built in USB ports; Ideal for controlling electronics ","SP15 is a smart power strip, through the Beli APP, whether you are in the company or enjoying a tour, you can easily control the appliance status of your home, even from miles away, such as adding oxygen into the fish tank remotely, or switching on the humidifier. You can schedule your smart power strip to turn on or o",plug|power strip|socket,alexa|google home|smart|voice control|wi fi,description|features|title,,,,
2ec8f43e0b95a0aa,eligible,B06WVNKBKN,smart_plug,Electronics,high,single_device_type,Bayit Sense WiFi Socket,Camera & Photo,,,,socket,wifi,title,,,,
c913d9a0bb5dd0fc,eligible,B07GP4NK4B,smart_plug,Home_and_Kitchen,high,single_device_type,Wi-Fi Smart Plug Outlet Timer Mini Socket Compatible with Alexa Google Home Ifttt No Hub Required Control Your Devices from Anywhere 2 Pack Esicoo,Home Audio & Theater,Home & Kitchen Kitchen & Dining Dining & Entertaining Dinnerware & Serveware Dinnerware Dinnerware Sets,"✅GREAT SOUND QUALITY WITH APTX+: high-fidelity stereo sound quality with aptx codec and CSR8645 chipset. These headphones are compatible with most smartphones, iPhone and Android. ✅THE BEST BATTERY IN THE CLASS WITH UP TO 12+ HOURS PLAYTIME - New 2018 updated battery of 170mAh - provides Longest PlayTime Up to 12+ hour",,outlet|plug|smart plug|socket,alexa|google home|ifttt|smart|wi fi,title,,,,
8562544b37b601ab,eligible,B0784FHFKX,smart_plug,Electronics,high,single_device_type,"Xenon Smart Power Strip,WiFi Smart Multi Outlet Surge with 4-Outlet 4-USB with 5-Foot Cord, Work with Alexa and Google Home,Black",Tools & Home Improvement,Electronics Accessories & Supplies Power Strips & Surge Protectors Surge Protectors,"✔ 4 AC Outlets + 4 USB Charging Ports:Smart Power Strip with 4 outlets and 4 USB charging port for travel, home or office, provide a convenient power supply for notebooks and other Tabs Socket.And you can remote control your indoor lights, space heaters, fans,and other appliances at the same time.( NOTE: the 4 Outlet c",,outlet|power strip|socket,alexa|google home|smart|voice control|wifi,features|title,,,,
5aabb8073bad05ed,eligible,B07G2ZFB4S,smart_plug,Electronics,high,single_device_type,"Jinvoo WiFi Smart Plug, Smart Outlet Compatible with Alexa and Google Assistant, TUyaSmart Life 2.4GHz Only WiFi Socket, Voice&Remote Control, Schedule Timer, No Hub Required, ETL&FCC, 2-Pack",Industrial & Scientific,Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,,,outlet|plug|smart outlet|smart plug|socket,alexa|smart|wifi,title,,,,
efccc7ea9748c202,eligible,B078HBKKKX,smart_plug,Electronics,high,single_device_type,"Mackertop WiFi Smart Power Strip, Smart WiFi Plug Outlet with 4 AC Outlets and 4 USB Charging Ports, Work with Alexa and Google Assistant, Remote Control by Smart Phone",All Electronics,Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,"Smart Power Socket: The wifi smart power strip works with Amazon Alexa Echo enables you to control your home appliance via your IOS/Android smart phones or tablets Multi Smart Outlets: 4 outlets and 4 USB ports for home and office. Ideal for multi device, such as computer, laptop, indoor lights and other appliances at ","Features: Support WIFI network (support 2.4GHz Wi-Fi network, not support 5.0GHz). Compatible with Alexa with voice control. Support IOS and Android mobile devices( Android 4.1 and higher or IOS 8.0 and higher). Energy Saving: Save on your electric bills and extend product life. Powerful and Safe: FCC approved for safe",outlet|plug|power strip|socket,alexa|smart|voice control|wi fi|wifi,description|features|title,,,,
61e2f7413bdd27f1,eligible,B00MI2BYEY,smart_plug,Electronics,high,single_device_type,Furman Sound BlueBOLT CN-15MP 15A MiniPort Remote Duplex Smart Outlet,,Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,"SmartSequencing allows bidirectional, safe sequenced power up/down operations via the push of a button or turn of a key. Extreme Voltage Shutdown (EVS) safeguards from catastrophic under-voltage (under 80V sustained) or over-voltage (over 145V sustained) conditions. Diagnostic lights provide valuable system information","Furman s Contractor Series MiniPorts extend the benefits of SmartSequencing to electronics outside of the equipment rack, providing tremendous flexibility to any installation scenario. Units may be daisy-chained and fully controlled via a Furman SmartSequencer, legacy Furman sequencer, third-party sequencers, via the I",outlet|smart outlet,smart,title,,,,
95fd84c12f2672de,eligible,B074Z6HGXD,smart_plug,Electronics,high,single_device_type,"VOCOlinc Smart Power Strip Multi Outlet, Surge Protector, Energy Monitoring, USB Fast Charging (QC3.0), Timers, Works with HomeKit, Alexa and Google Assistant, No Hub Required, 2.4GHz Wi-Fi, PM2",Tools & Home Improvement,Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,"Advanced Power Protection > Dual overload protection for all outlets and USB ports respectively Control with Your Voice & App > Can be easily integrated into HomeKit, Alexa and Google Assistant, all at the same time to make your home truly Smart. To enable Remote Access, an Apple Home Hub is required for iOS devices (A",,outlet|power strip|smart outlet,alexa|homekit|smart|wi fi,features|title,,,,
355f631ef6fad231,eligible,B07QGTZQR7,smart_plug,Electronics,high,single_device_type,"Acenx Smart Power Strip with USB Works with Alexa &Google Home,2.4Ghz WiFi Surge Protector Outlet Plugs with 3 Outlets 3 USB ,Timer and Schedule,Voice Control,5ft Extension Cord,Energy Monitoring",Home Audio & Theater,,,,outlet|power strip,alexa|google home|smart|voice control|wifi,title,,,,
707350d7a4af3f12,eligible,B07G95FFN3,smart_plug,Electronics,high,single_device_type,"Kasa Smart Plug Power Strip HS300, Surge Protector with 6 Individually Controlled Smart Outlets and 3 USB Ports, Works with Alexa & Google Home, No Hub Required , White",Tools & Home Improvement,Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,"6 smart outlets: Independently control 6 smart outlets, and charge 3 devices with built in USB ports; Ideal for controlling electronics in your home, home office, or small business Surge protection: ETL certified surge protection shields sensitive electronics and appliances from sudden power surges that can occur durin","With independent control of 6 devices and extra USB ports to charge 3 others, the kasa smart Wi-Fi power strip is ideal for your family rooms, home office or small business, power up your office remotely and even your holiday lights. Remotely control each outlet with the kasa smart app or use voice commands with Alexa,",outlet|plug|power strip|smart plug,alexa|google home|smart|voice control|wi fi,description|features|title,,,,
