sample_role,parent_asin,proposed_device_type,source_domains,main_category,title,categories_evidence,limited_metadata_evidence,original_exclusion_reason,exclusion_gate_categories,supporting_metadata_fields,matched_device_terms,matched_smart_terms,proposed_decision,confidence,audit_label,audit_notes,draft_version,sampling_rank
positive_control,B07DFNM96Z,smart_switch,Electronics,All Electronics,"ZLINK Z-Wave Plus Smart Light Dimmer with S2 and SmartStart, Amazon Alexa Ready - ZL-WD-100",,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,0b692a0db474fd8198ce3dc4d1204878f8dba46c186bd3be73bcf6af3156b8c8
positive_control,B07HHR1FZP,smart_switch,Electronics,Tools & Home Improvement,"Smart-Wall-Switch Smart-WiFi-Switch, Meross Remote Control and Timer switches Compatible with Alexa/Google Assistant/IFTTT Fit for US/CA Wall Switches No Hub Needed(2 Packs)",Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,a6b807ccf958d82e902675f66b5131178ae58b3b9f4bc787885175d5ea4bad8c
positive_control,B08K46NTDD,smart_switch,Electronics,Tools & Home Improvement,"Legrand - Pass & Seymour Radiant WWRL10LACCV2 Enabled, Light Almond Smart Wi-Fi Switch",Amazon Devices & Accessories Amazon Devices Smart Home Security & Lighting Smart Lighting Smart Light Switches,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,fa45dc0602ce71ba18b8f6305f3d68ab574b9c58df2b971053e45acbebb22025
recovery_candidate,B081JLKNGW,smart_switch,Home_and_Kitchen,Amazon Home,"Zemismart WiFi Electric Curtain Motor,DIY Tracks with Self-Power Kinetic Switch No Need Battery Wireless Remote Control,Tuya Smart Life WiFi Voice Control Alexa Google Home Control (316)",Home & Kitchen Home Décor Products Window Treatments Curtains & Drapes,"categories: Home & Kitchen Home Décor Products Window Treatments Curtains & Drapes | details: Brand zemismart Date First Available November 25, 2019 Item Weight 11.77 pounds Number of Items 1 Opacity Blackout Package Weight 5.35 Kilograms Pattern Solid Style Modern",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent,approved_identity_phrase_absent|required_target_context_absent,title,switch,alexa|google home|tuya|voice control|wi fi|wifi,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,001c14e23ff8a91a4c2fa0d9971c419b8645e71b7de2112ccd5f50f824f67a1f
recovery_candidate,B00KOHEPZU,smart_switch,Electronics,,"NETGEAR GS716T 16-Port Gigabit Smart Managed Switch - Switch - L3 Lite - smart - 16 x 10/100/1000 + 2 x Gigabit SFP - desktop, rack-mountable",Electronics Computers & Accessories Networking Products Switches,categories: Electronics Computers & Accessories Networking Products Switches | features: Dynamic VLAN assignment for easy user authentication and location independent access to network | description: ProSafe Gigabit 16 Port Smart Managed Switch with 2 SFP Ports Auto Voice VLAN and Auto Video VLAN help deploy VoIP systems and IP-based surveillance systems Static routing helps to route internal traffic for more efficient use of network resources Energy Efficient Ethernet () support for more energy saving Dynamic VLAN assignment for easy user authentication and location-independent access to network Total Ports: 18 …,smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:wrong_product:port,approved_identity_phrase_absent|required_target_context_absent|wrong_product,title|description,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,003c32f39e538231fcde3f9dfab68722c49e9596f04b162f291102ee3dd00bb8
recovery_candidate,B08BZPVJ2X,smart_switch,Electronics,All Electronics,"Syntech USB to Ethernet Adapter, USB 3.0 to RJ45 10/100/1000 Gigabit LAN Network Adapter Compatible with MacOS[Driver Needed], Windows 10/8.1/8/7/Vista/XP, Chrome OS, Linux, Switch and More.",Electronics Computers & Accessories Networking Products Network Adapters USB Network Adapters,"categories: Electronics Computers & Accessories Networking Products Network Adapters USB Network Adapters | features: 【Stable and Fast】This USB LAN Adapter allows you to connect a faster-wired network to resolve a weak Wi-Fi connection or no ethernet port problem. The firm connection provides a stable network connection. It supports 10/100/1000 Ethernet at USB 3.0 speed for data transfer, game, and video streaming, which is faster and more reliable than most wireless connections. 【Universal Compatibility】The USB male to ethernet fem… | details: Best Sellers Rank USB Computer Network Adapters 1015 Date First Available August 12, 2020 Item Weight 0.634 ounces Item model number USB-C 3.5mm Spli",smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:smart_evidence_not_in_title_or_categories|smart_switch:wrong_product:ethernet|smart_switch:wrong_product:network,approved_identity_phrase_absent|multi-type conflict|required_target_context_absent|smart_evidence_not_in_title_or_categories|wrong_product,title|features,switch,wi fi|wifi,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,00c6d88ceac6fa2d6cc39949b0bf17e280bbb16d6929859fcdc8cc92587d9be8
recovery_candidate,B08MLDY159,smart_switch,Electronics,Cell Phones & Accessories,"Tihoo Cell Phone Stand for Desk, Portable Tablet Phone Holder Stand with Weighted Base, Angle Height Adjustable Mobile Phone Stand, Phone Stand for All Smart Phone, iPad, Kindle, Switch (Black)",Electronics Computers & Accessories Tablet Accessories Stands,"categories: Electronics Computers & Accessories Tablet Accessories Stands | features: WIDE COMPATIBILITY: Fit all cell phones and tablets, Tihoo universal cell phone stand for desk is compatible with all 4-11” Smart phones, iPad, tablet, kindle, and e-reader. ERGONOMIC DESIGN: This cell phone holder stand for desk is angle and height adjustable. Ergonomics stand design allow you adjust the height and keep it at an appropriate angle for operating and watching phones, iPad and Kindle comfortable, relie… | details: Best Sellers Rank Tablet Stands 588 Brand Tihoo Color Black Compatible Devices Smartphones Compatible Phone Models Cell Phone, Smartphone, iPad, Kindle, Mobile Phone, Smart Phone, Ta",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent,approved_identity_phrase_absent|required_target_context_absent,title,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,01042639110b597f32a1e83e86df784c6e929aebb29246f6074f65c010cd217e
recovery_candidate,B0057P36IQ,smart_switch,Electronics,All Electronics,"Beastron Remote Control Electrical Outlet Switch for Lights and Household Appliances with A 100 ft.Range, White (1Pack)",Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips,"categories: Electronics Accessories & Supplies Power Strips & Surge Protectors Power Strips | features: Build your smart home: learning functions allows you to programmer one outlet with more Remotes or one Remote with more outlets, extra remote control switch can be also purchased from Beastron and matched to existing units, build your smart home system. Home Appliance assistant: remotely control hard-to-reach appliances and devices from the comfort of your bed or sofa at the push of a button, A great assistant to the…",smart_plug:approved_identity_phrase_absent|smart_plug:smart_evidence_not_in_title_or_categories|smart_switch:approved_identity_phrase_absent|smart_switch:smart_evidence_not_in_title_or_categories,approved_identity_phrase_absent|multi-type conflict|smart_evidence_not_in_title_or_categories,title|features,switch,smart home,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,01eb09afa724034c09facb2261711b84f9299d2fad01ca961319c1c8f9c59dfd
recovery_candidate,B00U3UNDN8,smart_switch,Electronics,Computers,"Zyxel 10 Port 1000/10G-BASE-T Smart Managed Switch Plus 2 Combo SFP+/RJ45, 12 Total Ports [XS1920-12]",Electronics Computers & Accessories Networking Products Switches,"categories: Electronics Computers & Accessories Networking Products Switches | features: Upgrades your network to 10GbE connectivity easily and economically Simplified configuration with user-friendly web-based management GUI Flexible 10G connection to 10G servers and network storage through both copper and fiber ZyXEL One Network experience enables simple network management and maintenance Dual firmware imaging and configuration ensure network availability Future-proofed with IPv6 support Limited life-… | description: …sly faster and more reliable, as well as easy to set up and maintain. To help meet these challenges, ZyXEL has introduced the XS1920-12, a 10GbE smart switch for SMB that eco",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:wrong_product:port,approved_identity_phrase_absent|required_target_context_absent|wrong_product,title|description,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,03c9163165e98d6f359c65475dd203d4811f8d0857f1534d3ccebf367c1f4f53
recovery_candidate,B0938YJ1LS,smart_switch,Electronics,,"HP Envy 13 Laptop, 13.3"" FHD 1080p Touchscreen, i7-1165G7 EVO, 8GB DDR4 RAM, 1TB SSD, Webcam with Shutter Switch, Backlit Keyboard, Fingerprint Reader, WiFi 6, Bluetooth 5, Windows 10 Home",Electronics Computers & Accessories Computers & Tablets Laptops Traditional Laptops,"categories: Electronics Computers & Accessories Computers & Tablets Laptops Traditional Laptops | features: … 1 x Headphone/Microphone Combo Jack; 1 x Media card reader; HP Wide Vision HD Camera with shutter key; Backlit Keyboard; Fingerprint Reader; B&O Audio with dual speakers; WiFi 6 AX (2x2) and Bluetooth 5.0 combo, Windows 10 Home 64-bit 【Included in the package】128GB MicroSD Card and Mousepad from PConline365 | description: … Media card reader 1 x Power Jack 1 x Power Jack Graphics: Intel Iris Xe Graphics with shared graphics memory Audio: B&O Audio with dual speakers Wireless Connectivity: WiFi 6 AX (2x2) and Bluetooth® 5.0 combo Camera: HP Wide Vision HD Camera with integrated dual a",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent,approved_identity_phrase_absent|required_target_context_absent,title|features|description,switch,wi fi|wifi,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0505e33ce61789a797d715342ed9fac9dd54472193b84de11c02948f177272fe
