blind_id,parent_asin,device_type,product_title,source_domains,final_label,final_decision,decision_basis
W3RB-001,B00IRQ6T22,smart_bulb,MiPow PLAYBULB Bluetooth SMART LED Wireless Speaker Light Bulb for use with Apple iPhone/ iPad/ iPod and Android devices - Chrome,Electronics,correct_target,include,reviewer_consensus
W3RB-004,B00JCE14AU,smart_bulb,"Sengled Pulse Dimmable LED Light Bulb with a Built-In Wireless Bluetooth JBL Speaker, Master + Satellite (Pair), Pewter",Electronics,correct_target,include,reviewer_consensus
W3RB-005,B00W6YEMMU,smart_bulb,"PLAYBULB BTL100 Bluetooth Dimmable LED Light Bulb with Wireless Speaker, White",Electronics,correct_target,include,reviewer_consensus
W3RB-006,B010UAB0V2,smart_switch,Belkin WeMo Light Switch,Electronics,correct_target,include,reviewer_consensus
W3RB-007,B003I86OPG,smart_switch,"Insteon 2466DI ToggleLinc Insteon Remote Control Dimmer Switch, Ivory",Electronics,correct_target,include,reviewer_consensus
W3RB-008,B00YB5R56M,smart_bulb,ION Audio Sound Shine | Dimmable Light Bulb & Wireless Speaker with Bluetooth & App Control (Pair),Electronics,correct_target,include,reviewer_consensus
W3RB-010,B0BN7YPZKP,smart_bulb,"WiZ Connected 6-Pack Color 60W Candle B11 Smart WiFi Light Bulb, 16 Million Colors, Compatible with Alexa and Google Home Assistant, No Hub Required, 6 Bulbs",Electronics,correct_target,include,reviewer_consensus
W3RB-011,B01M0PAZA7,smart_bulb,SHARPER IMAGE SBT5007WH Switcher Bluetooth Wireless Smart Speaker Bulb,Electronics,correct_target,include,reviewer_consensus
W3RB-012,B00UMA45KY,smart_bulb,PLAYBULB Color Bluetooth Smart LED Light Bulb with built in Speaker for iPhone and Android,Electronics,correct_target,include,reviewer_consensus
W3RB-013,B00PJH16UC,smart_bulb,"GoControl Z-Wave Dimmable LED Light Bulb, LB60Z-1",Electronics,correct_target,include,reviewer_consensus
W3RB-014,B00KLPFJR8,smart_bulb,"PLAYBULB BTL100 Bluetooth Dimmable LED Light Bulb with Wireless Speaker, White",Electronics,correct_target,include,reviewer_consensus
W3RB-015,B00KLPFEXW,smart_bulb,MiPow BTL100-SR-WW PLAYBULB Bluetooth Wireless Smart LED Speaker Light Bulb,Electronics,correct_target,include,reviewer_consensus
W3RB-016,B00S036GN4,smart_bulb,"Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater",Electronics,correct_target,include,reviewer_consensus
W3RB-017,B00S036GUC,smart_bulb,"Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater",Electronics,correct_target,include,reviewer_consensus
W3RB-018,B00V9091EG,smart_bulb,"Top Race Fun Disco Smart LED BLUETOOTH LIGHT BULB 6W (60 Watt Replacement) - Works with ALL Smartphones; Apple iPhone, iPad, Android Phones And Tablets",Electronics,correct_target,include,reviewer_consensus
W3RB-019,B00S036GQQ,smart_bulb,"Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater",Electronics,correct_target,include,reviewer_consensus
W3RB-020,B00YRRVTPM,smart_bulb,ION Audio Sound Shine | Dimmable Light Bulb & Wireless Speaker with Bluetooth & App Control (Single),Electronics,correct_target,include,reviewer_consensus
W3RB-021,B01MS9L9K2,smart_bulb,"TP-Link LB130(E27) v1. 0, Smart Wi-Fi LED Bulb with Color Changing Hue",Electronics,correct_target,include,reviewer_consensus
W3RB-023,B01AKOY5FG,smart_bulb,"GoControl Z-Wave Dimmable LED Light Bulb, LB60Z-1",Electronics,correct_target,include,reviewer_consensus
